DrugBankID	Targets	Fullname
DB00160	349, 280, 435, 4070, 3899, 3904, 735, 169, 593, 866, 114, 323, 532	L-Alanine
DB00161	601, 574, 246	L-Valine
DB00162	800, 4071, 640, 4072, 4073, 35, 4074, 4075, 1097, 331, 627, 651, 282, 569, 611, 863	Vitamin A
DB00163	1284, 997, 275, 1970, 4076, 4077, 4078, 86, 375, 283	Vitamin E
DB00165	48, 306, 358, 149	Pyridoxine
DB00166	45, 4079, 105	Lipoic Acid
DB00167	701, 4080, 630, 574, 795, 546	L-Isoleucine
DB00168	1558, 438	Aspartame
DB00169	856	Cholecalciferol
DB00170	448, 787, 4081, 54, 369, 400, 239, 422, 1245, 604, 243, 2157, 798	Menadione
DB00171	484, 1588, 2105, 1735, 132, 386, 395, 225, 748, 483, 510, 704, 289, 825, 521, 476, 377, 340, 821, 733, 292, 776, 242, 486, 661, 230, 740, 154, 21, 745, 849, 17, 297	Adenosine triphosphate
DB00172	4000, 4082, 4083, 3874, 67, 4084, 2554, 4085, 1524, 4086, 3945, 4087, 4088, 3949, 3951, 7125, 4090, 248, 210, 471, 797, 802	L-Proline
DB00173	128, 3679, 775, 6288, 4752, 4692, 4606, 6832, 4755, 874, 1958, 2264	Adenine
DB00174	263, 3977, 4092, 314, 242, 669	L-Asparagine
DB00175	631	Pravastatin
DB00176	824	Fluvoxamine
DB00177	70	Valsartan
DB00178	244	Ramipril
DB00179	275	Masoprocol
DB00180	871	Flunisolide
DB00181	240, 4094	Baclofen
DB00182	131, 713, 982, 1636	Amphetamine
DB00183	2049	Pentagastrin
DB00184	947, 4095, 948, 813, 6079, 6080, 6081, 4097, 458, 6082, 6078	Nicotine
DB00185	51, 103	Cevimeline
DB00186	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6115, 6091, 811	Lorazepam
DB00187	193	Esmolol
DB00188	522, 4101, 4102, 4103, 515	Bortezomib
DB00189	872, 4098, 423, 4100, 580, 4099, 530, 523, 841	Ethchlorvynol
DB00190	3876	Carbidopa
DB00191	540, 824, 713, 3941, 3939	Phentermine
DB00192	220	Indecainide
DB00193	847, 540, 824, 590, 696, 467, 706, 5878, 51	Tramadol
DB00194	4104, 874, 7009, 509	Vidarabine
DB00195	193, 766	Betaxolol
DB00196	260	Fluconazole
DB00197	238, 1457, 267, 2222, 3809, 6221	Troglitazone
DB00198	641, 4604, 1141, 5482	Oseltamivir
DB00199	884, 4237, 4238	Erythromycin
DB00200	809, 854, 840, 354, 265, 376, 1224, 507, 3916	Hydroxocobalamin
DB00201	16, 1178, 541, 814	Caffeine
DB00202	458, 5878, 103, 617, 51	Succinylcholine
DB00203	204, 6037, 6038	Sildenafil
DB00204	101, 233, 1968	Dofetilide
DB00205	365, 620	Pyrimethamine
DB00206	131	Reserpine
DB00207	884, 4238, 4237	Azithromycin
DB00208	122	Ticlopidine
DB00209	103	Trospium
DB00210	162, 229, 780, 88, 730, 459	Adapalene
DB00211	556, 632	Midodrine
DB00212	298	Remikiren
DB00213	385	Pantoprazole
DB00214	558	Torasemide
DB00215	824	Citalopram
DB00216	725, 885, 511, 320, 528, 436, 716	Eletriptan
DB00217	378, 318, 629, 709	Bethanidine
DB00218	477, 404, 817	Moxifloxacin
DB00219	103	Oxyphenonium
DB00220	731	Nelfinavir
DB00221	193	Isoetharine
DB00222	781, 709, 230	Glimepiride
DB00223	871	Diflorasone
DB00224	731	Indinavir
DB00225		Gadodiamide
DB00226	540	Guanadrel Sulfate
DB00227	631, 572, 4122	Lovastatin
DB00228	610, 872, 705, 482, 858, 241, 537, 559	Enflurane
DB00229	633	Cefotiam
DB00230	392	Pregabalin
DB00231	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6115, 6091, 811	Temazepam
DB00232	558, 295, 357, 592	Methyclothiazide
DB00233	290, 7173, 275, 6270, 61	Aminosalicylic Acid
DB00234	540	Reboxetine
DB00235	485	Milrinone
DB00236	874	Pipobroman
DB00237	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Butabarbital
DB00238	7243	Nevirapine
DB00239	260, 7194	Oxiconazole
DB00240	871	Alclometasone
DB00241	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Butalbital
DB00242	360, 4218, 6108, 874, 603, 6109, 6110, 6112, 6111, 277	Cladribine
DB00243	220, 1995	Ranolazine
DB00244	290, 20, 275, 238, 7173, 2038, 1757, 6938	Mesalazine
DB00245	103, 713, 492	Benzatropine
DB00246	831, 502, 23, 163, 638, 432, 320, 885, 725, 528, 590, 341, 1256, 716, 492, 556, 632, 318, 629, 378, 103, 617, 51, 450, 274	Ziprasidone
DB00247	436, 590, 502, 320, 716	Methysergide
DB00248	831, 436, 638, 502, 629, 725, 432, 318, 320, 378, 163, 23, 885, 590, 716	Cabergoline
DB00249	874, 509	Idoxuridine
DB00250	3808, 3807	Dapsone
DB00251	260	Terconazole
DB00252	220, 158	Phenytoin
DB00253	871	Medrysone
DB00254	140, 22, 883	Doxycycline
DB00255	136, 3809, 869	Diethylstilbestrol
DB00256	140, 22	Lymecycline
DB00257	260, 462	Clotrimazole
DB00258	7197	Calcium Acetate
DB00259	891	Sulfanilamide
DB00260	807, 894	Cycloserine
DB00261	485	Anagrelide
DB00262	874, 714, 6075	Carmustine
DB00263	891	Sulfisoxazole
DB00264	193, 766	Metoprolol
DB00265		Crotamiton
DB00266	787, 2157, 2159	Dicumarol
DB00267	633, 4155	Cefmenoxime
DB00268	638, 831, 432, 320, 725, 436, 23, 163, 885, 502, 590, 318, 629, 378	Ropinirole
DB00269	136	Chlorotrianisene
DB00270	478, 762, 4110, 964, 4160, 4115, 4111	Isradipine
DB00271		Diatrizoate
DB00272	124	Betazole
DB00273	872, 158, 382, 357, 592	Topiramate
DB00274	6067, 645, 543, 4155, 3760, 6184	Cefmetazole
DB00275	70	Olmesartan
DB00276	874, 817, 101	Amsacrine
DB00277	16, 1178, 268, 541, 204, 1971, 485	Theophylline
DB00278	54	Argatroban
DB00279	758, 346	Liothyronine
DB00280	220, 103, 617, 51, 6098, 6099	Disopyramide
DB00281	198, 1995, 220, 844	Lidocaine
DB00282	853, 930	Pamidronate
DB00283	492	Clemastine
DB00284	929, 4513, 1016, 2129	Acarbose
DB00285	824, 540, 713	Venlafaxine
DB00286	136	Conjugated Estrogens
DB00287	672	Travoprost
DB00288	871, 469	Amcinonide
DB00289	540, 824	Atomoxetine
DB00290	222, 874, 187	Bleomycin
DB00291	874	Chlorambucil
DB00292	872, 629	Etomidate
DB00293	359, 773	Raltitrexed
DB00294	614, 136	Etonogestrel
DB00295	847, 696, 467	Morphine
DB00296	198	Ropivacaine
DB00297	198, 73	Bupivacaine
DB00298	556, 789, 632	Dapiprazole
DB00299	338, 570	Penciclovir
DB00300	874	Tenofovir
DB00301	633	Flucloxacillin
DB00302	234	Tranexamic Acid
DB00303	115, 6069, 1, 4155, 819, 645, 543, 6184	Ertapenem
DB00304	614, 136	Desogestrel
DB00305	874	Mitomycin
DB00306	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Talbutal
DB00307	459, 88, 780	Bexarotene
DB00308	478, 333, 101, 762, 750, 172, 751, 514, 772, 781	Ibutilide
DB00309	29	Vindesine
DB00310	558	Chlorthalidone
DB00311	295, 357, 592, 6126	Ethoxzolamide
DB00312	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Pentobarbital
DB00313	280, 1039, 630	Valproic Acid
DB00314	883, 884, 7165	Capreomycin
DB00315	885, 725, 511, 320	Zolmitriptan
DB00316	290, 20	Acetaminophen
DB00317	844	Gefitinib
DB00318	847, 696, 467	Codeine
DB00319	7154, 6121, 7156, 6844	Piperacillin
DB00320	725, 885, 318, 436	Dihydroergotamine
DB00321	540, 824, 502, 320, 467, 696, 1618, 6100, 556, 789, 318, 492, 103, 617, 51, 450, 274, 1086, 858, 6098, 6099	Amitriptyline
DB00322	359	Floxuridine
DB00323	3810	Tolcapone
DB00324	871	Fluorometholone
DB00325	613	Nitroprusside
DB00326		Calcium Gluceptate
DB00327	847, 467, 696	Hydromorphone
DB00328	20, 290, 2981, 6042, 238, 1313, 6043	Indomethacin
DB00330	649, 135, 37	Ethambutol
DB00331	281	Metformin
DB00332	103, 617, 51	Ipratropium bromide
DB00333	847, 706, 458, 467	Methadone
DB00334	502, 831, 23, 163, 638, 432, 320, 885, 725, 528, 590, 341, 1256, 716, 492, 556, 632, 318, 629, 378, 103, 617, 51, 450, 274	Olanzapine
DB00335	193	Atenolol
DB00336	845, 327, 63, 893	Nitrofurazone
DB00337	4148, 768	Pimecrolimus
DB00338	385	Omeprazole
DB00339	6032	Pyrazinamide
DB00340	103, 450, 274, 617, 51	Metixene
DB00341	492	Cetirizine
DB00342	492, 101, 51	Terfenadine
DB00343	750	Diltiazem
DB00344	540, 824	Protriptyline
DB00345		Aminohippurate
DB00346	556, 632, 789	Alfuzosin
DB00347	535	Trimethadione
DB00348	506	Nitisinone
DB00349	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6115, 6091	Clobazam
DB00350	709, 20	Minoxidil
DB00351	614, 871	Megestrol
DB00352	874	Thioguanine
DB00353	23	Methylergonovine
DB00354	492, 103	Buclizine
DB00355	867, 2635	Aztreonam
DB00356	610	Chlorzoxazone
DB00357	3811, 6017	Aminoglutethimide
DB00358	931, 144, 1178	Mefloquine
DB00359	4116	Sulfadiazine
DB00360	291, 828, 676, 134	Tetrahydrobiopterin
DB00361	161	Vinorelbine
DB00362	7195	Anidulafungin
DB00363	831, 502, 23, 638, 432, 320, 885, 725, 528, 590, 341, 1256, 716, 492, 164, 556, 632, 318, 629, 378, 103, 617, 51, 450, 274, 734	Clozapine
DB00364	6231, 1525, 1278, 595, 3812, 3813	Sucralfate
DB00365	404, 477	Grepafloxacin
DB00366	492, 103	Doxylamine
DB00367	614, 596, 136, 146	Levonorgestrel
DB00368	556, 632, 789, 318, 629, 378, 193, 766, 1517, 828	Norepinephrine
DB00369	379	Cidofovir
DB00370	502, 341, 318, 590, 696, 492	Mirtazapine
DB00371	872, 423, 580, 530, 523, 841	Meprobamate
DB00372	831, 23, 432	Thiethylperazine
DB00373	193, 766, 2300	Timolol
DB00374	527, 1502, 122	Treprostinil
DB00375	7198	Colestipol
DB00376	103, 617, 51, 450, 274	Trihexyphenidyl
DB00377	341	Palonosetron
DB00378	614	Dydrogesterone
DB00379	220, 6220	Mexiletine
DB00380	817, 4192	Dexrazoxane
DB00381	478, 762, 4110, 4115, 4111, 3970, 6045, 6046, 295	Amlodipine
DB00382	474, 3923	Tacrine
DB00383	51, 103, 617	Oxyphencyclimine
DB00384	552, 213, 27, 550	Triamterene
DB00385	874, 817	Valrubicin
DB00386	131	Alseroxylon
DB00387	103, 617, 450, 51	Procyclidine
DB00388	556, 632, 789	Phenylephrine
DB00389	563	Carbimazole
DB00390	806	Digoxin
DB00391	831, 638	Sulpiride
DB00392	103, 706, 617	Ethopropazine
DB00393	478, 4115, 4113, 4111, 333, 4110, 4114, 4112, 737, 6220	Nimodipine
DB00394	871	Beclometasone dipropionate
DB00395		Carisoprodol
DB00396	614, 136, 737, 380	Progesterone
DB00397	556, 318, 23, 193	Phenylpropanolamine
DB00398	698, 40, 407, 26, 165, 228, 504	Sorafenib
DB00399	853, 6058, 930	Zoledronate
DB00400	312, 712, 7180	Griseofulvin
DB00401	478, 762, 4110, 4115, 4111	Nisoldipine
DB00402	872, 423, 580, 523, 811	Eszopiclone
DB00403	447	Ceruletide
DB00404	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6091, 6115, 811	Alprazolam
DB00405	492	Dexbrompheniramine
DB00406	874	Gentian Violet
DB00407	309, 852	Ardeparin
DB00408	831, 23, 502, 590	Loxapine
DB00409	831, 432, 638, 502, 174	Remoxipride
DB00410	892	Mupirocin
DB00411	103, 617, 813	Carbachol
DB00412	238, 1457	Rosiglitazone
DB00413	638, 831, 432, 629, 320, 725, 318, 885, 502, 436, 590, 378, 23, 163	Pramipexole
DB00414	709	Acetohexamide
DB00415	7156, 6844, 7154, 6799, 6121	Ampicillin
DB00416	813	Metocurine Iodide
DB00417	633, 6113, 819, 2385	Penicillin V
DB00418	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Secobarbital
DB00419	529	Miglustat
DB00420	831, 502, 590, 23, 432, 450, 617, 51, 103, 632, 274, 556, 492, 789	Promazine
DB00421	737, 146	Spironolactone
DB00422	713, 540, 824	Methylphenidate
DB00423	295	Methocarbamol
DB00424	103, 617, 51, 450	Hyoscyamine
DB00425	872, 423, 580	Zolpidem
DB00426	338, 697	Famciclovir
DB00427	492	Triprolidine
DB00428	874, 1638	Streptozocin
DB00429	73	Carboprost Tromethamine
DB00430	4155, 543, 6185, 6186, 6184, 645, 6067	Cefpiramide
DB00431	4098, 482, 820, 461, 62	Lindane
DB00432	359, 874	Trifluridine
DB00433	831	Prochlorperazine
DB00434	492, 502, 590, 103, 617, 51	Cyproheptadine
DB00435	6068	Nitric Oxide
DB00436	466, 610, 295, 357, 592	Bendroflumethiazide
DB00437	3947	Allopurinol
DB00438	4155, 7154, 645, 6799, 543, 6186, 7163, 6069, 7164	Ceftazidime
DB00439	631	Cerivastatin
DB00440	359, 365	Trimethoprim
DB00441	874, 360, 359, 702	Gemcitabine
DB00442	874	Entecavir
DB00443	871	Betamethasone
DB00444	817	Teniposide
DB00445	588, 817, 874	Epirubicin
DB00446	7167, 2810, 1196	Chloramphenicol
DB00447	7154, 633	Loracarbef
DB00448	385	Lansoprazole
DB00449	556, 318, 766, 3923	Dipivefrin
DB00450	831, 556	Droperidol
DB00451	758, 346	Levothyroxine
DB00452	883, 308, 1162	Framycetin
DB00453	22, 140, 883	Clomocycline
DB00454	696, 401, 464, 837, 505, 439	Meperidine
DB00455	492	Loratadine
DB00456	2461, 6799, 6844, 7154, 7156, 6121, 633, 2478	Cefalotin
DB00457	556, 632, 789, 101, 514, 772	Prazosin
DB00458	540, 824, 502, 492, 556, 789, 103, 617, 51, 450, 274, 6098, 6099, 6432	Imipramine
DB00459	459, 730, 229, 162, 88, 780, 331	Acitretin
DB00460		Verteporfin
DB00461	290, 20	Nabumetone
DB00462	103, 617, 51	Methylscopolamine
DB00463	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918	Metharbital
DB00464	422, 1245	Sodium Tetradecyl Sulfate
DB00465	290, 20	Ketorolac
DB00466	142, 872, 820, 461	Picrotoxin
DB00467	404, 477, 817	Enoxacin
DB00468	931, 976, 462	Quinine
DB00469	290, 20	Tenoxicam
DB00470	68, 106	Dronabinol
DB00471	778, 275	Montelukast
DB00472	824, 502	Fluoxetine
DB00473	220, 198	Hexylcaine
DB00474	872	Methohexital
DB00475	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6115, 6091	Chlordiazepoxide
DB00476	824, 540, 713	Duloxetine
DB00477	831, 23, 502, 320, 556, 632, 492	Chlorpromazine
DB00478	694	Rimantadine
DB00479	308, 883	Amikacin
DB00480	5997, 5816, 4221, 290	Lenalidomide
DB00481	136, 869	Raloxifene
DB00482	290, 2180	Celecoxib
DB00483	617, 474, 813	Gallamine Triethiodide
DB00484	318, 629, 378	Brimonidine
DB00485	7157, 7158, 6844, 7156, 7154, 6799, 6121	Dicloxacillin
DB00486	106, 68	Nabilone
DB00487	477, 404, 817	Pefloxacin
DB00488	874	Altretamine
DB00489	101, 193, 766	Sotalol
DB00490	320, 831	Buspirone
DB00491	929, 1016, 7248, 7249	Miglitol
DB00492	244	Fosinopril
DB00493	6844, 7156, 867, 6799, 6121	Cefotaxime
DB00494	3810	Entacapone
DB00495	7243	Zidovudine
DB00496	51, 103, 617, 450, 274	Darifenacin
DB00497	847, 696, 467	Oxycodone
DB00498	787	Phenindione
DB00499	146, 6220	Flutamide
DB00500	290, 20	Tolmetin
DB00501	124	Cimetidine
DB00502	831, 23, 464, 502, 638	Haloperidol
DB00503	731	Ritonavir
DB00504	847	Levallorphan
DB00505	51, 103, 617	Tridihexethyl
DB00507	4562	Nitazoxanide
DB00508	23, 831, 436, 103, 617	Triflupromazine
DB00509	758, 346, 563	Dextrothyroxine
DB00511	806	Acetyldigitoxin
DB00512	7159, 4790	Vancomycin
DB00513	234, 1792, 2353	Aminocaproic Acid
DB00514	174, 319, 706, 813, 824	Dextromethorphan
DB00515	874	Cisplatin
DB00516		Bentoquatam
DB00517	103, 617, 51	Anisotropine Methylbromide
DB00518	2449, 2499, 2709	Albendazole
DB00519	244	Trandolapril
DB00520	7195	Caspofungin
DB00521	766, 193	Carteolol
DB00522	3851	Bentiromide
DB00523	730, 459, 229, 88, 162, 780	Alitretinoin
DB00524	466	Metolazone
DB00525	7196	Tolnaftate
DB00526	874	Oxaliplatin
DB00527	198, 220, 465	Dibucaine
DB00528	750	Lercanidipine
DB00529	379, 338	Foscarnet
DB00530	844, 1284	Erlotinib
DB00531	874	Cyclophosphamide
DB00532	220	Mephenytoin
DB00533	290, 1648	Rofecoxib
DB00534	558, 170	Chlormerodrin
DB00535	6118, 6119, 1757	Cefdinir
DB00536	3194, 624, 5682, 874, 7034, 2300, 147, 5126	Guanidine
DB00537	477, 404, 817	Ciprofloxacin
DB00538		Gadoversetamide
DB00539	136	Toremifene
DB00540	540, 824, 502, 320, 492, 556, 789, 103, 617, 51, 450, 274	Nortriptyline
DB00541	161, 2539	Vincristine
DB00542	244	Benazepril
DB00543	540, 824, 831, 23, 318, 556, 103, 872	Amoxapine
DB00544	359, 874, 6075	Fluorouracil
DB00545	474, 3923	Pyridostigmine
DB00546	872, 423, 580, 523, 6087, 6086, 6088, 4098, 4100, 4099, 6093, 6089, 6090, 142, 6092, 6115	Adinazolam
DB00547	871	Desoximetasone
DB00548	526, 6105, 642, 279, 553	Azelaic Acid
DB00549	778	Zafirlukast
DB00550	563	Propylthiouracil
DB00551	370, 2203	Acetohydroxamic Acid
DB00552	3957	Pentostatin
DB00553	874	Methoxsalen
DB00554	290, 20	Piroxicam
DB00555	3802	Lamotrigine
DB00556		Perflutren
DB00557	492	Hydroxyzine
DB00558	64, 6007, 5482	Zanamivir
DB00559	578, 49	Bosentan
DB00560	883, 140, 308, 6208, 6207, 6209	Tigecycline
DB00561	6072, 6073	Doxapram
DB00562	466, 295, 357, 592, 4205, 3007	Benzthiazide
DB00563	365	Methotrexate
DB00564	220	Carbamazepine
DB00565	813	Cisatracurium Besylate
DB00566	7191, 7190, 7189, 7188	Succimer
DB00567	7154, 7156, 6844, 6121, 6799	Cephalexin
DB00568	492, 478, 4115, 4113, 4111, 535, 964, 15, 831	Cinnarizine
DB00569	309, 239	Fondaparinux sodium
DB00570	2449, 161, 6210, 6212, 6211, 1629	Vinblastine
DB00571	193, 766, 1517, 320, 885	Propranolol
DB00572	103, 617, 51, 450, 274	Atropine
DB00573	290, 20	Fenoprofen
DB00574	824, 436, 590	Fenfluramine
DB00575	318, 629, 378	Clonidine
DB00576	891	Sulfamethizole
DB00577	338, 509	Valaciclovir
DB00578	7177	Carbenicillin
DB00579	540, 713, 824	Mazindol
DB00580	290	Valdecoxib
DB00581	129	Lactulose
DB00582	260	Voriconazole
DB00583	833, 118, 551, 109, 636, 412, 200, 451, 3947, 4604, 1757	L-Carnitine
DB00584	244	Enalapril
DB00585	124	Nizatidine
DB00586	290, 20, 275, 3804, 389, 1086, 4162, 2981	Diclofenac
DB00587	778	Cinalukast
DB00588	871, 614, 723, 737	Fluticasone Propionate
DB00589	831, 638, 432, 23, 163, 320, 725, 436, 502, 590, 885, 318, 629, 378	Lisuride
DB00590	556, 632, 789, 101, 514, 772	Doxazosin
DB00591	871	Fluocinolone Acetonide
DB00592	4099	Piperazine
DB00593	535	Ethosuximide
DB00594	213, 27, 552, 550, 387, 749, 389, 827, 1074	Amiloride
DB00595	140, 22, 883	Oxytetracycline
DB00596	871	Halobetasol Propionate
DB00597		Gadoteridol
DB00598	193, 766, 556, 632	Labetalol
DB00599	872, 423, 580, 530, 523, 841, 947, 4095, 921, 918, 3937	Thiopental
DB00600	279	Monobenzone
DB00601	884	Linezolid
DB00602	461, 4099	Ivermectin
DB00603	614, 136	Medroxyprogesterone
DB00604	94, 341, 502, 101	Cisapride
DB00605	290, 20, 822, 1714, 1502, 6043	Sulindac
DB00606	253, 295, 357, 592	Cyclothiazide
DB00607	6844, 6121, 7156, 7154, 6799	Nafcillin
DB00608	931, 3932, 777, 2112	Chloroquine
DB00609	368, 518	Ethionamide
DB00610	556	Metaraminol
DB00611	696, 467, 847	Butorphanol
DB00612	193, 766	Bisoprolol
DB00613	931, 4203	Amodiaquine
DB00614	874	Furazolidone
DB00615	512, 284, 6206, 1939, 2091	Rifabutin
DB00616	294, 244	Candoxatril
DB00617	15	Paramethadione
DB00618	140, 22	Demeclocycline
DB00619	6094, 504, 1864, 1618, 951, 950, 1950, 17, 228	Imatinib
DB00620	871	Triamcinolone
DB00621	146	Oxandrolone
DB00622	478, 4110, 4115, 762, 6047, 5692, 556, 632, 789, 103, 617, 51, 450, 274, 465	Nicardipine
DB00623	831, 23, 465	Fluphenazine
DB00624	146	Testosterone
DB00625	7243	Efavirenz
DB00626	7166, 2155, 1128	Bacitracin
DB00627	928, 699, 583, 860	Niacin
DB00628	872, 423, 580, 530, 523, 841, 4098, 4100, 4099, 6087, 6086, 6088, 6093, 6089, 6090, 142, 6092, 6115, 6091, 811	Clorazepate
DB00629	318	Guanabenz
DB00630	853, 930, 1376, 6055, 6056, 6057	Alendronate
DB00631	603, 360, 874	Clofarabine
DB00632	653, 786	Docosanol
DB00633	318	Dexmedetomidine
DB00634	891, 7175, 7176	Sulfacetamide
DB00635	871	Prednisone
DB00636	80	Clofibrate
DB00637	492, 101	Astemizole
DB00638	4107	Inulin
DB00639	7160	Butoconazole
