DrugBankID	Name	Status
DB00195	Betaxolol	approved
DB00196	Fluconazole	approved
DB00197	Troglitazone	
DB00198	Oseltamivir	approved
DB00199	Erythromycin	approved
DB00200	Hydroxocobalamin	approved
DB00201	Caffeine	approved
DB00202	Succinylcholine	approved
DB00203	Sildenafil	approved
DB00204	Dofetilide	approved
DB00205	Pyrimethamine	approved
DB00206	Reserpine	approved
DB00207	Azithromycin	approved
DB00208	Ticlopidine	approved
DB00209	Trospium	approved
DB00210	Adapalene	approved
DB00211	Midodrine	approved
DB00212	Remikiren	approved
DB00213	Pantoprazole	approved
DB00214	Torasemide	approved
DB00215	Citalopram	approved
DB00216	Eletriptan	approved
DB00217	Bethanidine	approved
DB00218	Moxifloxacin	approved
DB00219	Oxyphenonium	approved
DB00220	Nelfinavir	approved
DB00221	Isoetharine	approved
DB00222	Glimepiride	approved
DB00223	Diflorasone	approved
DB00224	Indinavir	approved
DB00225	Gadodiamide	approved
DB00226	Guanadrel Sulfate	approved
DB00227	Lovastatin	approved
DB00228	Enflurane	approved
DB00229	Cefotiam	approved
DB00230	Pregabalin	
DB00231	Temazepam	approved
DB00232	Methyclothiazide	approved
DB00233	Aminosalicylic Acid	approved
DB00234	Reboxetine	approved
DB00235	Milrinone	approved
DB00236	Pipobroman	approved
DB00237	Butabarbital	
DB00238	Nevirapine	approved
DB00239	Oxiconazole	approved
DB00240	Alclometasone	approved
DB00241	Butalbital	
DB00242	Cladribine	approved
DB00243	Ranolazine	approved
DB00244	Mesalazine	approved
DB00245	Benzatropine	approved
DB00246	Ziprasidone	approved
DB00247	Methysergide	approved
DB00248	Cabergoline	approved
DB00249	Idoxuridine	approved
DB00250	Dapsone	approved
DB00251	Terconazole	approved
DB00252	Phenytoin	approved
DB00253	Medrysone	approved
DB00254	Doxycycline	approved
DB00255	Diethylstilbestrol	approved
DB00256	Lymecycline	approved
DB00257	Clotrimazole	approved
DB00258	Calcium Acetate	approved
DB00259	Sulfanilamide	approved
DB00260	Cycloserine	approved
DB00261	Anagrelide	approved
DB00262	Carmustine	approved
DB00263	Sulfisoxazole	approved
DB00264	Metoprolol	approved
DB00265	Crotamiton	approved
DB00266	Dicumarol	approved
DB00267	Cefmenoxime	approved
DB00268	Ropinirole	approved
DB00269	Chlorotrianisene	approved
DB00270	Isradipine	approved
DB00271	Diatrizoate	approved
DB00272	Betazole	approved
DB00273	Topiramate	approved
DB00274	Cefmetazole	approved
DB00275	Olmesartan	approved
DB00276	Amsacrine	approved
DB00277	Theophylline	approved
DB00278	Argatroban	approved
DB00279	Liothyronine	approved
DB00280	Disopyramide	approved
DB00281	Lidocaine	approved
DB00282	Pamidronate	approved
DB00283	Clemastine	approved
DB00284	Acarbose	approved
DB00285	Venlafaxine	approved
DB00286	Conjugated Estrogens	approved
DB00287	Travoprost	approved
DB00288	Amcinonide	approved
DB00289	Atomoxetine	approved
DB00290	Bleomycin	approved
DB00291	Chlorambucil	approved
DB00292	Etomidate	approved
DB00293	Raltitrexed	approved
DB00294	Etonogestrel	approved
DB00295	Morphine	approved
DB00296	Ropivacaine	approved
DB00297	Bupivacaine	approved
DB00298	Dapiprazole	approved
DB00299	Penciclovir	approved
DB00300	Tenofovir	approved
DB00301	Flucloxacillin	approved
DB00302	Tranexamic Acid	approved
DB00303	Ertapenem	approved
DB00304	Desogestrel	approved
DB00305	Mitomycin	approved
DB00306	Talbutal	
DB00307	Bexarotene	approved
DB00308	Ibutilide	approved
DB00309	Vindesine	approved
DB00310	Chlorthalidone	approved
DB00311	Ethoxzolamide	approved
DB00312	Pentobarbital	approved
DB00313	Valproic Acid	approved
DB00314	Capreomycin	approved
DB00315	Zolmitriptan	approved
DB00316	Acetaminophen	approved
DB00317	Gefitinib	approved
DB00318	Codeine	
DB00319	Piperacillin	approved
DB00320	Dihydroergotamine	approved
DB00321	Amitriptyline	approved
DB00322	Floxuridine	approved
DB00323	Tolcapone	approved
DB00324	Fluorometholone	approved
DB00325	Nitroprusside	approved
DB00326	Calcium Gluceptate	approved
DB00327	Hydromorphone	
DB00328	Indomethacin	approved
DB00330	Ethambutol	approved
DB00331	Metformin	approved
DB00332	Ipratropium bromide	approved
DB00333	Methadone	approved
DB00334	Olanzapine	approved
DB00335	Atenolol	approved
DB00336	Nitrofurazone	approved
DB00337	Pimecrolimus	approved
DB00338	Omeprazole	approved
DB00339	Pyrazinamide	approved
DB00340	Metixene	approved
DB00341	Cetirizine	approved
DB00342	Terfenadine	approved
DB00343	Diltiazem	approved
DB00344	Protriptyline	approved
DB00345	Aminohippurate	approved
DB00346	Alfuzosin	approved
DB00347	Trimethadione	approved
DB00348	Nitisinone	approved
DB00349	Clobazam	
DB00350	Minoxidil	approved
DB00351	Megestrol	approved
DB00352	Thioguanine	approved
DB00353	Methylergonovine	approved
DB00354	Buclizine	approved
DB00355	Aztreonam	approved
DB00356	Chlorzoxazone	approved
DB00357	Aminoglutethimide	approved
DB00358	Mefloquine	approved
DB00359	Sulfadiazine	approved
DB00360	Tetrahydrobiopterin	approved
DB00361	Vinorelbine	approved
DB00362	Anidulafungin	approved
DB00363	Clozapine	approved
DB00364	Sucralfate	approved
DB00365	Grepafloxacin	approved
DB00366	Doxylamine	approved
DB00367	Levonorgestrel	approved
DB00368	Norepinephrine	approved
DB00369	Cidofovir	approved
DB00370	Mirtazapine	approved
DB00371	Meprobamate	
DB00372	Thiethylperazine	approved
DB00373	Timolol	approved
DB00374	Treprostinil	approved
DB00375	Colestipol	approved
DB00376	Trihexyphenidyl	approved
DB00377	Palonosetron	approved
DB00378	Dydrogesterone	approved
DB00379	Mexiletine	approved
DB00380	Dexrazoxane	approved
DB00381	Amlodipine	approved
DB00382	Tacrine	approved
DB00383	Oxyphencyclimine	approved
DB00384	Triamterene	approved
DB00385	Valrubicin	approved
DB00386	Alseroxylon	approved
DB00387	Procyclidine	approved
DB00388	Phenylephrine	approved
DB00389	Carbimazole	approved
DB00390	Digoxin	approved
DB00391	Sulpiride	approved
DB00392	Ethopropazine	approved
DB00393	Nimodipine	approved
DB00394	Beclometasone dipropionate	approved
DB00395	Carisoprodol	approved
DB00396	Progesterone	approved
DB00397	Phenylpropanolamine	approved
DB00398	Sorafenib	approved
DB00399	Zoledronate	approved
DB00400	Griseofulvin	approved
DB00401	Nisoldipine	approved
DB00402	Eszopiclone	approved
DB00403	Ceruletide	approved
DB00404	Alprazolam	
DB00405	Dexbrompheniramine	approved
DB00406	Gentian Violet	approved
DB00407	Ardeparin	approved
DB00408	Loxapine	approved
DB00409	Remoxipride	approved
DB00410	Mupirocin	approved
DB00411	Carbachol	approved
DB00412	Rosiglitazone	approved
DB00413	Pramipexole	approved
DB00414	Acetohexamide	approved
DB00415	Ampicillin	approved
DB00416	Metocurine Iodide	approved
DB00417	Penicillin V	approved
DB00418	Secobarbital	approved
DB00419	Miglustat	approved
DB00420	Promazine	approved
DB00421	Spironolactone	approved
DB00422	Methylphenidate	approved
DB00423	Methocarbamol	approved
DB00424	Hyoscyamine	approved
DB00425	Zolpidem	approved
DB00426	Famciclovir	approved
DB00427	Triprolidine	approved
DB00428	Streptozocin	approved
DB00429	Carboprost Tromethamine	approved
DB00430	Cefpiramide	approved
DB00431	Lindane	approved
DB00432	Trifluridine	approved
DB00433	Prochlorperazine	approved
DB00434	Cyproheptadine	approved
DB00435	Nitric Oxide	approved
DB00436	Bendroflumethiazide	approved
DB00437	Allopurinol	approved
DB00438	Ceftazidime	approved
DB00439	Cerivastatin	
DB00440	Trimethoprim	approved
DB00441	Gemcitabine	approved
DB00442	Entecavir	approved
DB00443	Betamethasone	approved
DB00444	Teniposide	approved
DB00445	Epirubicin	approved
DB00446	Chloramphenicol	approved
DB00447	Loracarbef	approved
DB00448	Lansoprazole	approved
DB00449	Dipivefrin	approved
DB00450	Droperidol	approved
DB00451	Levothyroxine	approved
DB00452	Framycetin	approved
DB00453	Clomocycline	approved
DB00454	Meperidine	approved
DB00455	Loratadine	approved
DB00456	Cefalotin	approved
DB00457	Prazosin	approved
DB00458	Imipramine	approved
DB00459	Acitretin	approved
DB00460	Verteporfin	approved
DB00461	Nabumetone	approved
DB00462	Methylscopolamine	approved
DB00463	Metharbital	approved
DB00464	Sodium Tetradecyl Sulfate	approved
DB00465	Ketorolac	approved
DB00466	Picrotoxin	approved
DB00467	Enoxacin	approved
DB00468	Quinine	approved
DB00469	Tenoxicam	approved
DB00470	Dronabinol	
DB00471	Montelukast	approved
DB00472	Fluoxetine	approved
DB00473	Hexylcaine	approved
DB00474	Methohexital	approved
DB00475	Chlordiazepoxide	
DB00476	Duloxetine	approved
DB00477	Chlorpromazine	approved
DB00478	Rimantadine	approved
DB00479	Amikacin	approved
DB00480	Lenalidomide	approved
DB00481	Raloxifene	approved
DB00482	Celecoxib	approved
DB00483	Gallamine Triethiodide	approved
DB00484	Brimonidine	approved
DB00485	Dicloxacillin	approved
DB00486	Nabilone	approved
DB00487	Pefloxacin	approved
DB00488	Altretamine	approved
DB00489	Sotalol	approved
DB00490	Buspirone	approved
DB00491	Miglitol	approved
DB00492	Fosinopril	approved
DB00493	Cefotaxime	approved
DB00494	Entacapone	approved
DB00495	Zidovudine	approved
DB00496	Darifenacin	approved
DB00497	Oxycodone	
DB00498	Phenindione	approved
DB00499	Flutamide	approved
DB00500	Tolmetin	approved
DB00501	Cimetidine	approved
DB00502	Haloperidol	approved
DB00503	Ritonavir	approved
DB00504	Levallorphan	approved
DB00505	Tridihexethyl	approved
DB00507	Nitazoxanide	approved
DB00508	Triflupromazine	approved
DB00509	Dextrothyroxine	approved
DB00511	Acetyldigitoxin	approved
DB00512	Vancomycin	approved
DB00513	Aminocaproic Acid	approved
DB00514	Dextromethorphan	approved
DB00515	Cisplatin	approved
DB00516	Bentoquatam	approved
DB00517	Anisotropine Methylbromide	approved
DB00518	Albendazole	approved
DB00519	Trandolapril	approved
DB00520	Caspofungin	approved
DB00521	Carteolol	approved
DB00522	Bentiromide	approved
DB00523	Alitretinoin	approved
DB00524	Metolazone	approved
DB00525	Tolnaftate	approved
DB00526	Oxaliplatin	approved
DB00527	Dibucaine	approved
DB00528	Lercanidipine	approved
DB00529	Foscarnet	approved
DB00530	Erlotinib	approved
DB00531	Cyclophosphamide	approved
DB00532	Mephenytoin	approved
DB00533	Rofecoxib	
DB00534	Chlormerodrin	approved
DB00535	Cefdinir	approved
DB00536	Guanidine	approved
DB00537	Ciprofloxacin	approved
DB00538	Gadoversetamide	approved
DB00539	Toremifene	approved
DB00540	Nortriptyline	approved
DB00541	Vincristine	approved
DB00542	Benazepril	approved
DB00543	Amoxapine	approved
DB00544	Fluorouracil	approved
DB00545	Pyridostigmine	approved
DB00546	Adinazolam	approved
DB00547	Desoximetasone	approved
DB00548	Azelaic Acid	approved
DB00549	Zafirlukast	approved
DB00550	Propylthiouracil	approved
DB00551	Acetohydroxamic Acid	approved
DB00552	Pentostatin	approved
DB00553	Methoxsalen	approved
DB00554	Piroxicam	approved
DB00555	Lamotrigine	approved
DB00556	Perflutren	approved
DB00557	Hydroxyzine	approved
DB00558	Zanamivir	approved
DB00559	Bosentan	approved
DB00560	Tigecycline	approved
DB00561	Doxapram	approved
DB00562	Benzthiazide	approved
DB00563	Methotrexate	approved
DB00564	Carbamazepine	approved
DB00565	Cisatracurium Besylate	approved
DB00566	Succimer	approved
DB00567	Cephalexin	approved
DB00568	Cinnarizine	approved
DB00569	Fondaparinux sodium	approved
DB00570	Vinblastine	approved
DB00571	Propranolol	approved
DB00572	Atropine	approved
DB00573	Fenoprofen	approved
DB00574	Fenfluramine	
DB00575	Clonidine	approved
DB00576	Sulfamethizole	approved
DB00577	Valaciclovir	approved
DB00578	Carbenicillin	approved
DB00579	Mazindol	approved
DB00580	Valdecoxib	
DB00581	Lactulose	approved
DB00582	Voriconazole	approved
DB00583	L-Carnitine	approved
DB00584	Enalapril	approved
DB00585	Nizatidine	approved
DB00586	Diclofenac	approved
DB00587	Cinalukast	approved
DB00588	Fluticasone Propionate	approved
DB00589	Lisuride	approved
DB00590	Doxazosin	approved
DB00591	Fluocinolone Acetonide	approved
DB00592	Piperazine	approved
DB00593	Ethosuximide	approved
DB00594	Amiloride	approved
DB00595	Oxytetracycline	approved
DB00596	Halobetasol Propionate	approved
DB00597	Gadoteridol	approved
DB00598	Labetalol	approved
DB00599	Thiopental	approved
DB00600	Monobenzone	approved
DB00601	Linezolid	approved
DB00602	Ivermectin	approved
DB00603	Medroxyprogesterone	approved
DB00604	Cisapride	approved
DB00605	Sulindac	approved
DB00606	Cyclothiazide	approved
DB00607	Nafcillin	approved
DB00608	Chloroquine	approved
DB00609	Ethionamide	approved
DB00610	Metaraminol	approved
DB00611	Butorphanol	
DB00612	Bisoprolol	approved
DB00613	Amodiaquine	approved
DB00614	Furazolidone	approved
DB00615	Rifabutin	approved
DB00616	Candoxatril	approved
DB00617	Paramethadione	approved
DB00618	Demeclocycline	approved
DB00619	Imatinib	approved
DB00620	Triamcinolone	approved
DB00621	Oxandrolone	approved
DB00622	Nicardipine	approved
DB00623	Fluphenazine	approved
DB00624	Testosterone	approved
DB00625	Efavirenz	approved
DB00626	Bacitracin	approved
DB00627	Niacin	approved
DB00628	Clorazepate	
DB00629	Guanabenz	approved
DB00630	Alendronate	approved
DB00631	Clofarabine	approved
DB00632	Docosanol	approved
DB00633	Dexmedetomidine	approved
DB00634	Sulfacetamide	approved
DB00635	Prednisone	approved
DB00636	Clofibrate	approved
DB00637	Astemizole	approved
DB00638	Inulin	approved
DB00639	Butoconazole	approved
DB00640	Adenosine	approved
DB00641	Simvastatin	approved
DB00642	Pemetrexed	approved
DB00643	Mebendazole	approved
DB00644	Gonadorelin	approved
DB00645	Dyclonine	approved
DB00646	Nystatin	approved
DB00647	Propoxyphene	
DB00648	Mitotane	approved
DB00649	Stavudine	approved
DB00650	Leucovorin	approved
DB00651	Dyphylline	approved
DB00652	Pentazocine	approved
DB00653	Magnesium Sulfate	approved
DB00654	Latanoprost	approved
DB00655	Estrone	approved
DB00656	Trazodone	approved
DB00657	Mecamylamine	approved
DB00658	Sevelamer	approved
DB00659	Acamprosate	approved
DB00660	Metaxalone	approved
DB00661	Verapamil	approved
DB00662	Trimethobenzamide	approved
DB00663	Flumethasone Pivalate	approved
DB00664	Sulfametopyrazine	approved
DB00665	Nilutamide	approved
DB00666	Nafarelin	approved
DB00667	Histamine Phosphate	approved
DB00668	Epinephrine	approved
DB00669	Sumatriptan	approved
DB00670	Pirenzepine	approved
DB00671	Cefixime	approved
DB00672	Chlorpropamide	approved
DB00673	Aprepitant	approved
DB00674	Galantamine	approved
DB00675	Tamoxifen	approved
DB00676	Benzyl Benzoate	approved
DB00677	Isoflurophate	approved
DB00678	Losartan	approved
DB00679	Thioridazine	approved
DB00680	Moricizine	approved
DB00681	Amphotericin B	approved
DB00682	Warfarin	approved
DB00683	Midazolam	
DB00684	Tobramycin	approved
DB00685	Trovafloxacin	approved
DB00686	Pentosan Polysulfate	approved
DB00687	Fludrocortisone	approved
DB00688	Mycophenolate mofetil	approved
DB00689	Cephaloglycin	approved
DB00690	Flurazepam	
DB00691	Moexipril	approved
DB00692	Phentolamine	approved
DB00693	Fluorescein	approved
DB00694	Daunorubicin	approved
DB00695	Furosemide	approved
DB00696	Ergotamine	approved
DB00697	Tizanidine	approved
DB00698	Nitrofurantoin	approved
DB00699	Nicergoline	approved
DB00700	Eplerenone	approved
DB00701	Amprenavir	approved
DB00702	Icodextrin	approved
DB00703	Methazolamide	approved
DB00704	Naltrexone	approved
DB00705	Delavirdine	approved
DB00706	Tamsulosin	approved
DB00707	Porfimer	approved
DB00708	Sufentanil	approved
DB00709	Lamivudine	approved
DB00710	Ibandronate	approved
DB00711	Diethylcarbamazine	approved
DB00712	Flurbiprofen	approved
DB00713	Oxacillin	approved
DB00714	Apomorphine	approved
DB00715	Paroxetine	approved
DB00716	Nedocromil	approved
DB00717	Norethindrone	approved
DB00718	Adefovir Dipivoxil	approved
DB00719	Azatadine	approved
DB00720	Clodronate	approved
DB00721	Procaine	approved
DB00722	Lisinopril	approved
DB00723	Methoxamine	approved
DB00724	Imiquimod	approved
DB00725	Homatropine Methylbromide	approved
DB00726	Trimipramine	approved
DB00727	Nitroglycerin	approved
DB00728	Rocuronium	approved
DB00729	Diphemanil Methylsulfate	approved
DB00730	Thiabendazole	approved
DB00731	Nateglinide	approved
DB00732	Atracurium	approved
DB00733	Pralidoxime	approved
DB00734	Risperidone	approved
DB00735	Naftifine	approved
DB00736	Esomeprazole	approved
DB00737	Meclizine	approved
DB00738	Pentamidine	approved
DB00739	Hetacillin	approved
DB00740	Riluzole	approved
DB00741	Hydrocortisone	approved
DB00742	Mannitol	approved
DB00743	Gadobenate Dimeglumine	approved
DB00744	Zileuton	approved
DB00745	Modafinil	approved
DB00746	Deferoxamine	approved
DB00747	Scopolamine	approved
DB00748	Carbinoxamine	approved
DB00749	Etodolac	approved
DB00750	Prilocaine	approved
DB00751	Epinastine	approved
DB00752	Tranylcypromine	approved
DB00753	Isoflurane	approved
DB00754	Ethotoin	approved
DB00755	Tretinoin	approved
DB00756	Hexachlorophene	approved
DB00757	Dolasetron	approved
DB00758	Clopidogrel	approved
DB00759	Tetracycline	approved
DB00760	Meropenem	approved
DB00761	Potassium Chloride	approved
DB00762	Irinotecan	approved
DB00763	Methimazole	approved
DB00764	Mometasone	approved
DB00765	Metyrosine	approved
DB00766	Clavulanate	approved
DB00767	Benzquinamide	approved
DB00768	Olopatadine	approved
DB00769	Hydrocortamate	approved
DB00770	Alprostadil	approved
DB00771	Clidinium	approved
DB00772	Malathion	approved
DB00773	Etoposide	approved
DB00774	Hydroflumethiazide	approved
DB00775	Tirofiban	approved
DB00776	Oxcarbazepine	approved
DB00777	Propiomazine	approved
DB00778	Roxithromycin	approved
DB00779	Nalidixic Acid	approved
DB00780	Phenelzine	approved
DB00781	Polymyxin B Sulfate	approved
DB00782	Propantheline	approved
DB00783	Estradiol	approved
DB00784	Mefenamic acid	approved
DB00785	Cryptenamine	approved
DB00786	Marimastat	approved
DB00787	Aciclovir	approved
DB00788	Naproxen	approved
DB00789	Gadopentetate dimeglumine	approved
DB00790	Perindopril	approved
DB00791	Uracil mustard	approved
DB00792	Tripelennamine	approved
DB00793	Haloprogin	approved
DB00794	Primidone	approved
DB00795	Sulfasalazine	approved
DB00796	Candesartan	approved
DB00797	Tolazoline	approved
DB00798	Gentamicin	approved
DB00799	Tazarotene	approved
DB00800	Fenoldopam	approved
DB00801	Halazepam	
DB00802	Alfentanil	
DB00803	Colistin	approved
DB00804	Dicyclomine	approved
DB00805	Minaprine	approved
DB00806	Pentoxifylline	approved
DB00807	Proparacaine	approved
DB00808	Indapamide	approved
DB00809	Tropicamide	approved
DB00810	Biperiden	approved
DB00811	Ribavirin	approved
DB00812	Phenylbutazone	approved
DB00813	Fentanyl	
DB00814	Meloxicam	approved
DB00815	Sodium lauryl sulfate	approved
DB00816	Orciprenaline	approved
DB00817	Rosoxacin	approved
DB00818	Propofol	approved
DB00819	Acetazolamide	approved
DB00820	Tadalafil	approved
DB00821	Carprofen	approved
DB00822	Disulfiram	approved
DB00823	Ethynodiol Diacetate	approved
DB00824	Enprofylline	approved
DB00825	Menthol	approved
DB00826	Natamycin	approved
DB00827	Cinoxacin	approved
DB00828	Fosfomycin	approved
DB00829	Diazepam	
DB00830	Phenmetrazine	
DB00831	Trifluoperazine	approved
DB00832	Phensuximide	approved
DB00833	Cefaclor	approved
DB00834	Mifepristone	approved
DB00835	Brompheniramine	approved
DB00836	Loperamide	approved
DB00837	Progabide	approved
DB00838	Clocortolone	approved
DB00839	Tolazamide	approved
DB00840	Hydroxypropyl cellulose	approved
DB00841	Dobutamine	approved
DB00842	Oxazepam	approved
DB00843	Donepezil	approved
DB00844	Nalbuphine	approved
DB00845	Clofazimine	approved
DB00846	Flurandrenolide	approved
DB00847	Cysteamine	approved
DB00848	Levamisole	approved
DB00849	Methylphenobarbital	approved
DB00850	Perphenazine	approved
DB00851	Dacarbazine	approved
DB00852	Pseudoephedrine	approved
DB00853	Temozolomide	approved
DB00854	Levorphanol	approved
DB00855	Aminolevulinic acid	approved
DB00856	Chlorphenesin	approved
DB00857	Terbinafine	approved
DB00858	Drostanolone	
DB00859	Penicillamine	approved
DB00860	Prednisolone	approved
DB00861	Diflunisal	approved
DB00862	Vardenafil	approved
DB00863	Ranitidine	approved
DB00864	Tacrolimus	approved
DB00865	Benzphetamine	
DB00866	Alprenolol	approved
DB00867	Ritodrine	approved
DB00868	Benzonatate	approved
DB00869	Dorzolamide	approved
DB00870	Suprofen	approved
DB00871	Terbutaline	approved
DB00872	Conivaptan	approved
DB00873	Loteprednol	approved
DB00874	Guaifenesin	approved
DB00875	Flupenthixol	approved
DB00876	Eprosartan	approved
DB00877	Sirolimus	approved
DB00878	Chlorhexidine	approved
DB00879	Emtricitabine	approved
DB00880	Chlorothiazide	approved
DB00881	Quinapril	approved
DB00882	Clomifene	approved
DB00883	Isosorbide Dinitrate	approved
DB00884	Risedronate	approved
DB00885	Pemirolast	approved
DB00887	Bumetanide	approved
DB00888	Mechlorethamine	approved
DB00889	Granisetron	approved
DB00890	Dienestrol	approved
DB00891	Sulfapyridine	approved
DB00892	Oxybuprocaine	approved
DB00893	Iron Dextran	approved
DB00894	Testolactone	approved
DB00895	Benzylpenicilloyl Polylysine	approved
DB00896	Rimexolone	approved
DB00897	Triazolam	
DB00898	Ethanol	approved
DB00899	Remifentanil	approved
DB00900	Didanosine	approved
DB00901	Bitolterol	
DB00902	Methdilazine	approved
DB00903	Ethacrynic acid	approved
DB00904	Ondansetron	approved
DB00905	Bimatoprost	approved
DB00906	Tiagabine	approved
DB00907	Cocaine	
DB00908	Quinidine	approved
DB00909	Zonisamide	approved
DB00910	Paricalcitol	approved
DB00911	Tinidazole	approved
DB00912	Repaglinide	approved
DB00913	Anileridine	
DB00914	Phenformin	approved
DB00915	Amantadine	approved
DB00916	Metronidazole	approved
DB00917	Dinoprostone	approved
DB00918	Almotriptan	approved
DB00919	Spectinomycin	approved
DB00920	Ketotifen	approved
DB00921	Buprenorphine	
DB00922	Levosimendan	approved
DB00923	Ceforanide	approved
DB00924	Cyclobenzaprine	approved
DB00925	Phenoxybenzamine	approved
DB00926	Etretinate	
DB00927	Famotidine	approved
DB00928	Azacitidine	approved
DB00929	Misoprostol	approved
DB00930	Colesevelam	approved
DB00931	Methacycline	approved
DB00932	Tipranavir	approved
DB00933	Mesoridazine	approved
DB00934	Maprotiline	approved
DB00935	Oxymetazoline	approved
DB00936	Salicyclic acid	approved
DB00937	Diethylpropion	
DB00938	Salmeterol	approved
DB00939	Meclofenamic acid	approved
DB00940	Methantheline	approved
DB00941	Hexafluronium	approved
DB00942	Cycrimine	approved
DB00943	Zalcitabine	approved
DB00944	Demecarium	approved
DB00945	Acetylsalicylic acid	approved
DB00946	Phenprocoumon	approved
DB00947	Fulvestrant	approved
DB00948	Mezlocillin	approved
DB00949	Felbamate	approved
DB00950	Fexofenadine	approved
DB00951	Isoniazid	approved
DB00952	Naratriptan	approved
DB00953	Rizatriptan	approved
DB00954	Dirithromycin	approved
DB00955	Netilmicin	approved
DB00956	Hydrocodone	
DB00957	Norgestimate	approved
DB00958	Carboplatin	approved
DB00959	Methylprednisolone	approved
DB00960	Pindolol	approved
DB00961	Mepivacaine	approved
DB00962	Zaleplon	
DB00963	Bromfenac	approved
DB00964	Apraclonidine	approved
DB00965	Ethiodized oil	approved
DB00966	Telmisartan	approved
DB00967	Desloratadine	approved
DB00968	Methyldopa	approved
DB00969	Alosetron	approved
DB00970	Dactinomycin	approved
DB00971	Selenium Sulfide	approved
DB00972	Azelastine	approved
DB00973	Ezetimibe	approved
DB00974	Edetic Acid	approved
DB00975	Dipyridamole	approved
DB00976	Telithromycin	approved
DB00977	Ethinyl Estradiol	approved
DB00978	Lomefloxacin	approved
DB00979	Cyclopentolate	approved
DB00980	Ramelteon	approved
DB00981	Physostigmine	approved
DB00982	Isotretinoin	approved
DB00983	Formoterol	approved
DB00984	Nandrolone phenpropionate	
DB00985	Dimenhydrinate	approved
DB00986	Glycopyrrolate	approved
DB00987	Cytarabine	approved
DB00988	Dopamine	approved
DB00989	Rivastigmine	approved
DB00990	Exemestane	approved
DB00991	Oxaprozin	approved
DB00992	Methyl aminolevulinate	approved
DB00993	Azathioprine	approved
DB00994	Neomycin	approved
DB00995	Auranofin	approved
DB00996	Gabapentin	approved
DB00997	Doxorubicin	approved
DB00998	Frovatriptan	approved
DB00999	Hydrochlorothiazide	approved
DB01000	Cyclacillin	approved
DB01001	Salbutamol	approved
DB01002	Levobupivacaine	approved
DB01003	Cromoglicic acid	approved
DB01004	Ganciclovir	approved
DB01005	Hydroxyurea	approved
DB01006	Letrozole	approved
DB01007	Tioconazole	approved
DB01008	Busulfan	approved
DB01009	Ketoprofen	approved
DB01010	Edrophonium	approved
DB01011	Metyrapone	approved
DB01012	Cinacalcet	approved
DB01013	Clobetasol	approved
DB01014	Balsalazide	approved
DB01015	Sulfamethoxazole	approved
DB01016	Glyburide	approved
DB01017	Minocycline	approved
DB01018	Guanfacine	approved
